index, u0, u1, Family, u3, u4, u5, u6, u7, MAX LVL, XP Type, sk0, sk1, sk2, idk, HP, MP, ATK, DEF, SPD, INT,Blaze, Fireball, Bang, Infernos, Lightning, Icebolt, Surround, Sleep, Beat, RobMagic, Stopspell, Panic, Sap, Slow, Sacrifice, MegaMagic, FireAir, FrigidAir, PoisonAir, Paralyze, Curse, LureDance, DanceShut, MouthShut, RockThrow, GigaSlash, Geyser
139,129,0,Plant,2,0,0,6,0,70,24,30,113,157,0,25,18,21,24,15,23,1,1,1,3,3,1,2,2,3,3,3,1,1,1,3,1,1,1,2,1,1,3,3,3,1,1,3
140,128,0,Plant,2,0,0,6,0,80,15,27,131,163,0,22,7,12,13,24,4,2,2,2,3,3,3,1,1,3,3,3,1,1,1,3,2,2,2,2,2,2,2,2,2,2,1,2
141,114,0,Plant,2,0,0,6,0,80,0,60,158,162,0,10,27,11,14,24,30,2,2,2,3,3,3,1,3,3,3,3,3,1,1,3,1,2,3,3,3,3,3,3,3,1,1,2
142,143,0,Plant,2,0,0,2,0,30,3,27,118,122,0,8,14,13,19,7,14,0,0,0,0,0,0,1,1,1,3,3,1,1,1,1,0,0,0,1,1,2,0,0,0,0,1,2
143,50,0,Plant,0,0,0,1,0,45,16,13,22,103,0,8,4,7,4,9,7,0,0,0,0,0,0,0,1,2,3,3,2,2,1,2,0,1,1,1,2,0,1,3,0,1,1,2
144,77,0,Bug,2,0,0,3,0,35,2,139,149,162,0,11,8,14,9,11,7,0,0,0,0,0,0,1,3,1,1,1,3,1,1,1,1,0,0,2,2,2,0,0,0,2,2,0
145,60,0,Bug,2,0,0,4,0,40,4,37,95,132,0,13,5,11,14,11,9,1,1,1,0,0,1,0,2,0,0,0,2,0,0,1,0,1,1,2,2,2,0,0,0,2,2,1
146,63,0,Bug,2,0,0,4,0,30,1,19,54,78,0,6,11,14,18,8,7,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,2,2,2,2,2,2,3,3,0
147,62,0,Bug,2,1,0,3,1,30,0,46,78,117,0,11,2,13,7,12,8,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,2,1,1,1,3,3,0
148,54,0,Bug,2,0,0,4,0,40,4,50,56,57,0,17,13,10,12,5,19,0,0,0,1,1,0,0,2,0,1,1,2,0,0,0,0,0,0,2,2,2,1,1,1,2,2,1
149,69,0,Bug,2,0,0,4,0,35,6,86,118,164,0,13,8,16,8,13,14,1,1,1,1,1,1,0,2,1,0,0,2,0,0,1,0,0,0,2,2,2,0,0,0,2,2,1
150,65,0,Bug,2,0,0,4,0,40,4,139,143,163,0,12,8,9,9,4,1,0,0,0,0,0,0,1,3,1,0,0,3,0,0,1,0,0,0,3,3,3,0,0,0,2,2,1
151,51,0,Bug,2,0,0,4,0,45,3,47,64,141,0,13,7,16,20,9,7,1,1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,1,1,2,2,2,0,0,0,2,2,1
152,64,0,Bug,2,1,0,3,1,40,7,41,72,147,2,8,8,7,13,11,14,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,2
153,58,0,Bug,2,0,0,2,0,35,2,78,97,112,0,8,4,11,17,13,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0
154,47,0,Bug,2,0,0,4,0,35,0,50,78,104,0,11,4,8,14,14,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0
155,48,0,Bug,2,0,0,2,0,45,5,83,115,127,0,12,10,16,11,14,5,0,0,0,1,1,0,0,2,0,1,1,2,0,0,0,0,0,0,2,2,2,1,2,2,2,2,1
156,64,0,Bug,2,0,0,5,0,35,6,37,45,109,3,15,10,17,20,11,2,1,1,1,1,1,1,0,2,0,0,0,2,0,0,0,0,1,1,2,2,2,1,1,1,3,3,0
157,74,0,Bug,2,1,0,4,1,45,4,4,22,169,2,9,11,6,3,10,9,0,0,0,1,1,0,0,2,1,1,1,2,0,0,1,0,0,0,2,2,2,1,1,1,2,2,1
158,54,0,Bug,3,1,0,4,1,30,2,72,96,127,2,14,9,16,12,20,12,0,0,0,0,0,0,0,3,1,0,0,2,1,1,1,0,0,0,3,2,2,1,1,1,3,3,0
159,76,0,Bug,2,0,0,4,0,40,5,43,89,164,0,17,10,15,16,7,14,0,0,0,0,0,0,1,3,1,1,0,3,0,0,1,0,0,0,3,3,3,1,1,1,2,2,1
160,76,0,Bug,2,0,0,5,0,40,6,37,78,94,1,16,8,14,19,5,1,0,0,0,0,0,0,1,3,1,0,0,3,0,0,0,0,0,0,3,3,3,0,0,0,3,3,1
161,65,0,Bug,2,1,0,4,1,40,7,95,96,153,0,20,5,19,13,20,4,1,1,1,0,0,1,0,2,0,0,0,2,1,1,0,0,1,1,2,2,2,1,1,1,3,3,0
162,77,0,Bug,2,1,0,3,1,35,12,4,32,111,0,23,19,8,7,14,3,0,0,0,0,0,0,0,2,3,0,0,3,0,0,1,1,0,0,2,2,2,1,1,1,2,2,0
163,69,0,Bug,2,0,0,5,0,50,18,81,89,103,5,23,16,12,9,11,8,1,0,0,1,0,1,1,2,3,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,1
164,90,0,Bug,2,0,0,5,0,50,7,75,82,90,0,21,19,23,20,12,14,2,2,2,0,0,2,0,2,1,0,0,2,0,0,1,0,2,2,2,3,2,0,0,0,2,2,2
165,101,0,Bug,2,0,0,4,0,45,7,10,90,98,0,19,13,9,7,14,5,0,0,1,1,0,1,1,2,2,1,1,2,1,1,1,1,0,0,2,2,2,1,1,1,2,2,1
166,73,0,Bug,2,0,0,6,0,55,24,91,101,107,3,22,20,24,23,15,18,1,2,2,1,0,2,1,3,2,1,1,3,1,1,3,1,2,2,3,3,3,1,1,1,3,3,1
167,129,0,Bug,2,0,0,6,0,50,11,32,148,157,1,24,10,19,26,1,15,1,1,1,0,0,1,1,2,2,0,0,2,0,0,3,0,1,1,2,2,2,0,0,0,2,2,3
168,89,0,Bug,2,0,0,5,0,65,25,74,99,115,0,18,23,25,24,30,21,3,3,3,2,1,3,1,3,2,1,1,1,1,1,2,1,3,3,2,2,2,2,2,2,3,3,1
169,146,0,Bug,2,0,0,4,0,35,4,39,45,114,0,14,15,19,13,2,3,0,1,0,0,0,0,3,3,1,2,2,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0
170,63,0,Devil,3,0,0,2,0,40,19,33,45,156,0,11,7,15,8,15,4,2,2,1,1,1,2,1,1,3,2,2,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
171,62,0,Devil,2,1,0,4,1,30,19,39,46,89,0,11,13,14,15,8,11,2,2,2,1,1,1,0,1,2,0,0,1,0,0,2,0,0,0,2,2,2,1,1,0,1,1,1
172,68,0,Devil,2,0,0,5,0,35,16,4,21,113,0,16,11,18,12,16,19,1,1,2,2,2,2,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,2,1,1,2,1,1
173,82,0,Devil,2,0,0,4,0,30,13,1,64,68,0,13,1,5,4,9,20,1,1,1,3,3,2,0,0,2,0,0,2,0,0,2,0,0,0,0,1,1,1,2,2,2,1,0
174,55,0,Devil,2,1,0,4,1,40,18,92,114,127,0,11,18,10,16,9,12,2,2,1,3,3,1,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,1
175,68,0,Devil,2,0,0,4,0,35,16,54,144,165,0,16,17,14,14,13,8,2,2,2,2,2,2,0,1,2,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,1,1,1
176,74,0,Devil,2,0,0,4,0,45,18,80,101,141,0,17,11,17,13,15,12,2,2,2,1,1,2,1,1,3,0,0,1,0,0,3,0,0,0,2,2,1,0,0,0,0,0,0
177,76,0,Devil,2,0,0,5,0,50,20,4,53,68,3,16,10,20,22,4,12,2,2,1,2,2,3,0,0,3,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1
178,74,0,Devil,2,0,0,4,0,45,12,76,83,150,1,14,13,15,7,7,4,1,1,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,1,0,0,2,0,0,2
179,61,0,Devil,2,1,0,3,1,25,13,1,4,16,0,10,1,5,9,9,17,1,1,1,2,2,2,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
180,48,0,Devil,1,1,0,3,1,25,13,4,22,51,0,13,7,8,4,2,18,2,2,2,1,1,1,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
181,49,0,Devil,2,0,0,5,0,45,20,7,81,82,3,14,13,17,12,7,21,2,3,2,2,2,2,0,0,3,0,1,0,0,0,3,0,1,0,0,2,1,0,0,0,0,1,1
182,83,0,Devil,2,0,0,5,0,45,21,10,25,81,3,15,11,14,15,12,19,1,3,2,2,2,2,2,2,3,1,1,1,0,0,3,0,2,2,1,0,2,2,0,0,0,0,0
183,84,0,Devil,2,0,0,5,0,40,22,7,10,16,3,20,11,17,13,11,20,2,2,2,2,2,2,0,0,3,0,1,1,2,2,3,0,0,0,0,0,0,2,2,2,2,2,0
184,95,0,Devil,1,0,0,5,0,50,17,30,39,87,0,19,7,19,13,13,18,1,1,1,3,3,2,0,0,2,1,1,0,1,1,2,0,0,0,0,0,0,2,2,2,0,0,0
185,79,0,Devil,1,0,0,5,0,40,19,94,105,108,3,15,8,20,12,10,12,1,1,2,2,2,2,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,2,2,2,2,1,0
186,76,0,Devil,2,0,0,6,0,50,23,1,92,132,0,18,12,18,14,10,14,2,2,2,3,3,2,1,1,3,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,2,1,1
187,86,0,Devil,2,0,0,4,0,50,22,45,81,98,0,17,12,20,11,20,15,2,2,2,2,2,3,1,0,3,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1
188,85,0,Devil,1,0,0,5,0,50,24,108,111,151,3,24,3,25,22,4,1,1,1,1,1,1,1,0,0,3,0,0,0,0,0,3,0,1,1,0,2,0,1,0,0,0,1,0
189,73,0,Devil,2,0,0,5,0,60,20,80,85,151,5,23,1,18,24,12,12,2,2,2,2,2,1,1,1,3,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1
190,85,0,Devil,2,0,0,5,0,70,30,7,68,138,0,24,30,23,21,18,21,2,2,3,2,2,2,1,2,3,1,3,2,1,1,3,0,2,1,0,2,0,1,0,0,0,0,1
191,124,0,Devil,2,0,0,5,0,55,23,86,103,108,5,17,9,18,20,10,12,1,1,1,1,1,2,2,2,3,0,1,1,1,1,3,0,1,1,2,2,2,1,0,0,0,0,1
192,82,0,Devil,2,0,0,4,0,50,15,1,104,144,0,23,14,10,15,6,8,1,1,1,1,1,1,1,1,3,0,0,1,1,1,3,1,1,1,1,1,1,0,1,1,0,0,3
193,78,0,Devil,1,0,0,4,0,45,22,84,104,107,3,27,0,27,7,0,0,1,1,1,1,1,1,0,1,3,0,0,0,2,2,3,0,0,0,0,2,0,2,1,1,1,1,0
194,65,0,Devil,2,0,0,5,0,45,23,51,80,101,2,20,1,24,21,18,19,0,0,0,0,0,2,1,0,2,0,1,1,1,1,3,0,0,1,1,2,1,2,0,0,0,0,1
195,91,0,Devil,2,0,0,5,0,40,22,80,82,93,5,16,1,17,29,5,13,0,2,0,2,0,0,0,1,3,0,0,1,0,0,2,0,0,0,1,2,1,0,0,0,1,1,1
196,76,0,Devil,2,0,0,5,0,60,21,1,99,153,2,24,9,21,24,23,18,2,2,2,3,3,1,1,1,3,1,1,1,1,1,3,0,0,0,0,2,0,1,1,1,1,1,1
197,109,0,Devil,2,0,0,6,0,70,28,72,85,87,5,25,24,23,15,17,20,2,2,3,2,1,3,2,2,3,1,2,2,1,1,3,1,1,1,3,3,2,2,0,0,0,0,2
198,125,0,Devil,2,0,0,6,0,75,27,7,110,130,3,25,24,25,22,23,13,2,2,2,2,2,2,1,1,3,1,1,2,1,1,3,1,2,2,2,2,2,0,0,0,0,1,2
199,127,0,Devil,2,1,0,5,1,60,21,22,47,153,2,10,12,11,22,15,10,1,1,1,1,0,0,1,1,3,1,1,1,1,1,3,0,1,1,1,2,1,0,0,0,1,0,2
200,81,0,Zombie,2,1,0,3,1,40,11,127,147,165,0,11,12,13,8,18,15,0,0,0,0,0,0,3,3,3,1,1,3,1,1,3,1,0,0,2,2,2,0,0,0,0,0,0
201,71,0,Zombie,2,0,0,5,0,45,13,68,83,109,3,6,1,23,15,4,6,1,1,1,0,0,2,2,2,2,0,0,2,0,0,3,0,0,2,2,2,2,0,0,0,0,0,1
202,68,0,Zombie,2,0,0,3,0,35,6,39,43,54,0,17,13,17,8,11,4,0,0,0,0,0,0,2,2,2,0,0,2,1,1,2,0,0,0,2,2,2,1,1,1,1,1,0
203,67,0,Zombie,2,0,0,4,0,35,5,74,82,112,0,14,8,12,11,18,9,0,0,0,1,1,0,2,2,2,0,0,2,0,0,2,0,0,0,2,2,2,1,1,1,1,1,0
204,65,0,Zombie,2,0,0,4,0,50,10,78,96,107,0,15,17,12,9,4,8,0,0,0,1,1,0,2,2,2,1,1,2,0,0,2,0,0,0,2,2,3,1,1,1,0,0,0
205,65,0,Zombie,2,0,0,5,0,30,8,53,57,164,1,12,8,15,20,1,11,0,0,0,0,0,0,2,3,2,0,0,3,0,0,2,0,0,0,3,3,3,0,0,0,1,1,0
206,66,0,Zombie,2,0,0,5,0,45,13,22,34,36,0,17,7,19,9,12,8,1,1,1,1,1,1,2,2,3,0,0,2,0,0,3,0,0,0,2,2,2,0,0,0,0,0,1
207,67,0,Zombie,2,1,0,4,1,50,12,68,121,132,2,9,6,6,20,8,12,0,0,0,0,0,1,2,2,3,0,0,3,0,0,3,0,0,1,2,3,2,0,0,0,0,0,1
208,59,0,Zombie,2,0,0,5,0,45,9,19,95,149,0,17,19,23,9,12,10,1,1,1,1,0,1,2,2,2,0,0,2,0,0,2,0,1,1,1,1,1,1,1,0,0,0,1
209,77,0,Zombie,2,0,0,4,0,40,8,115,128,139,0,17,13,16,8,11,10,0,0,0,0,0,0,2,2,2,0,0,2,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0
210,63,0,Zombie,2,0,0,4,0,30,10,19,27,30,1,6,10,11,17,7,14,0,0,0,0,0,0,2,3,2,0,0,3,1,1,2,0,0,0,3,3,3,0,0,0,1,1,2
211,66,0,Zombie,2,1,0,3,1,35,12,72,74,166,0,17,4,10,3,15,9,0,0,0,2,1,1,2,2,2,0,0,2,0,0,2,0,0,0,2,2,2,1,1,1,1,1,1
212,61,0,Zombie,2,1,0,4,1,35,9,10,36,87,2,16,19,19,12,13,6,0,0,0,3,1,0,2,2,2,0,0,2,1,1,2,0,0,0,2,2,2,1,1,1,1,1,0
213,79,0,Zombie,2,1,0,4,1,40,10,90,117,128,0,19,3,21,17,19,6,0,0,0,1,1,0,2,3,2,1,1,3,0,0,2,0,0,1,3,3,3,1,1,0,1,1,1
214,83,0,Zombie,2,0,0,3,0,35,4,46,115,125,0,7,2,14,7,4,1,0,0,0,1,0,1,2,2,2,0,0,2,0,0,2,0,0,1,2,2,2,0,0,0,0,0,1
215,44,0,Zombie,2,1,0,4,1,40,7,1,4,165,0,9,15,6,8,13,4,2,2,0,1,0,0,2,2,2,0,0,2,0,0,2,0,2,0,2,2,2,1,1,0,0,0,0
216,62,0,Zombie,2,0,0,5,0,40,13,78,93,98,1,9,20,17,16,8,5,1,1,1,2,1,2,2,2,2,0,0,2,0,0,2,0,0,0,2,2,2,0,0,0,0,0,3
217,74,0,Zombie,2,0,0,5,0,50,16,25,93,133,0,21,2,26,19,15,13,0,1,1,1,0,2,2,2,3,1,1,2,0,0,3,0,0,2,2,3,2,3,0,0,0,0,0
218,95,0,Zombie,2,0,0,6,0,60,25,10,13,60,0,20,24,14,20,15,27,1,1,2,3,1,3,2,2,3,1,1,3,1,1,3,1,1,2,3,3,3,1,1,1,1,1,1
219,122,0,Zombie,2,0,0,6,0,40,10,7,82,99,0,14,13,17,12,7,1,0,0,0,1,0,1,2,2,2,1,1,2,0,0,2,0,0,0,2,2,2,0,0,0,0,0,1
220,59,0,Zombie,2,0,0,5,0,55,12,39,87,99,5,16,11,18,12,16,19,0,0,1,2,0,2,2,2,3,1,1,2,0,0,3,0,0,1,2,2,2,0,0,0,0,0,1
221,85,0,Zombie,2,0,0,5,0,70,20,1,16,138,5,23,21,25,18,15,20,1,1,3,2,1,2,2,2,3,1,1,3,1,1,3,1,1,2,3,3,3,1,1,1,1,1,1
222,122,0,Zombie,2,0,0,6,0,75,26,49,121,123,0,24,20,30,20,12,14,2,2,2,2,1,2,2,2,3,1,1,3,1,1,3,0,2,2,1,1,1,1,1,1,1,2,1
223,120,0,Zombie,2,1,0,5,1,40,1,58,118,158,0,11,20,1,2,21,5,0,0,0,0,0,0,2,2,3,0,0,2,0,0,2,0,0,0,2,3,2,1,0,0,0,0,1
224,56,0,Zombie,2,1,0,4,1,50,13,113,127,132,2,14,12,15,12,16,10,0,0,0,1,1,1,2,2,3,1,1,3,0,0,3,0,0,0,2,2,2,1,1,1,0,0,1
225,77,0,Zombie,2,1,0,4,0,40,8,19,132,123,0,5,21,13,11,14,21,0,0,2,1,1,0,3,3,3,0,1,2,0,0,2,0,0,1,1,1,3,1,0,0,0,0,0
226,72,0,Zombie,1,0,0,6,0,65,20,19,132,150,5,27,13,24,23,19,21,0,0,0,2,2,3,3,3,3,1,1,2,1,1,3,1,0,3,1,3,3,1,0,1,1,2,2
227,59,0,Material,3,0,0,4,0,40,12,4,51,52,0,13,11,9,18,17,15,0,0,0,0,0,2,1,1,3,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0,0,0,1
228,67,0,Material,2,0,0,4,0,50,14,34,68,169,0,14,15,17,12,9,13,1,1,1,0,0,2,0,0,3,0,0,2,0,0,3,0,1,2,0,0,3,1,1,1,0,0,1
229,61,0,Material,2,0,0,3,0,35,10,1,105,162,0,12,10,14,6,17,12,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,2,0,0,0,0,1,1,1,1,1,0
230,55,0,Material,2,1,0,4,1,35,10,34,35,157,0,16,13,5,14,14,7,0,0,0,1,1,2,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1,1,1,1,1,1
231,57,0,Material,2,0,0,5,0,45,12,10,21,160,0,8,23,11,12,3,19,0,0,0,1,1,2,0,0,2,1,1,0,0,0,2,0,0,2,0,0,0,1,1,1,0,0,1
232,60,0,Material,2,0,0,4,0,30,8,21,84,106,0,9,13,14,17,7,11,0,0,0,0,0,2,0,1,2,0,0,1,0,0,2,0,0,2,1,1,1,0,0,0,1,1,1
233,58,0,Material,2,0,0,5,0,45,14,54,58,165,0,15,11,8,6,11,19,1,1,1,1,1,2,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2
234,61,0,Material,2,0,0,4,0,45,12,22,94,107,0,14,4,20,21,10,13,0,0,0,0,0,2,1,1,3,0,0,1,0,0,3,0,0,2,1,1,1,0,0,0,0,0,2
235,71,0,Material,2,1,0,4,1,35,6,118,122,163,0,13,9,7,4,7,11,0,0,0,0,0,2,1,1,2,1,1,2,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0
236,52,0,Material,2,0,0,3,0,40,8,78,141,149,0,8,13,11,14,7,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1
237,44,0,Material,2,0,0,5,0,35,11,39,46,52,0,14,17,12,12,8,14,0,0,0,0,0,2,0,1,2,0,0,1,0,0,2,0,0,2,2,2,1,0,0,0,1,1,1
238,66,0,Material,2,0,0,6,0,45,15,64,108,126,3,18,13,20,23,9,10,1,1,1,0,0,2,1,0,3,0,0,2,0,0,3,0,1,3,2,3,2,0,0,0,0,0,1
239,81,0,Material,2,0,0,5,0,35,13,7,13,102,3,21,11,23,21,18,19,0,0,0,0,0,2,1,1,2,1,1,1,1,1,2,1,0,2,0,0,0,1,1,1,1,1,0
240,93,0,Material,2,1,0,4,1,30,11,50,90,96,0,8,3,9,11,12,6,0,0,1,1,0,2,0,1,2,1,1,1,0,0,2,0,0,2,1,1,1,0,0,0,1,1,0
241,53,0,Material,2,1,0,4,1,45,9,37,41,45,2,12,18,9,19,13,15,0,0,0,2,1,2,0,0,2,1,1,0,0,0,2,0,0,2,0,0,0,2,2,2,0,0,0
242,68,0,Material,2,0,0,4,0,30,8,118,126,161,0,7,6,14,4,4,3,0,0,0,0,0,2,0,0,2,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2
243,40,0,Material,1,0,0,5,0,40,13,98,99,101,5,12,5,21,22,24,17,1,1,1,1,1,2,1,2,3,0,0,0,0,0,3,0,1,2,2,2,1,2,0,0,0,0,0
244,83,0,Material,2,0,0,5,0,45,22,82,94,103,3,23,13,24,26,22,12,2,2,2,2,2,3,2,3,3,0,0,0,0,0,3,0,2,3,3,3,0,0,0,0,0,0,1
245,111,0,Material,2,1,0,4,1,40,11,19,108,165,0,18,19,15,18,9,19,0,0,0,0,0,2,2,2,3,1,1,1,1,1,3,1,0,2,0,0,0,0,0,0,0,0,1
246,79,0,Material,2,1,0,4,1,40,9,64,68,137,2,13,15,11,14,20,18,0,0,0,2,1,2,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1
247,68,0,Material,3,0,0,6,0,45,13,1,64,151,0,18,12,17,24,4,7,3,3,1,2,0,1,0,0,3,0,0,1,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0
248,74,0,Material,1,0,0,6,0,45,13,16,68,148,0,16,6,18,24,4,7,1,1,1,2,0,3,0,0,3,0,0,0,1,0,3,0,1,3,0,0,0,0,0,0,0,0,2
249,71,0,Material,2,1,0,5,1,40,11,1,19,168,0,25,10,20,12,1,20,0,0,1,2,1,2,1,1,3,1,1,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1
250,78,0,Material,2,1,0,5,1,45,11,49,72,120,0,20,13,15,6,7,4,1,1,0,0,0,2,1,1,3,1,1,1,1,1,2,0,1,2,1,1,0,0,0,0,0,0,1
251,64,0,Material,2,0,0,4,0,40,8,118,124,125,0,12,3,13,14,1,15,0,0,1,1,0,3,1,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1
252,51,0,Material,2,0,0,4,0,45,18,104,105,159,3,17,4,12,21,4,6,0,0,1,1,0,3,1,1,3,0,0,0,0,0,3,0,0,3,0,0,0,1,1,1,1,1,2
253,67,0,Material,2,0,0,5,0,50,15,148,151,157,3,24,10,23,24,1,14,0,1,1,1,0,3,1,1,3,0,1,0,0,0,3,0,1,3,0,2,1,1,1,1,1,1,2
254,93,0,Material,2,0,0,4,0,50,14,21,32,75,3,15,11,17,20,0,13,1,1,0,0,0,2,0,1,3,1,1,1,1,1,3,0,2,2,1,1,1,0,0,0,1,1,2
255,77,0,Material,1,0,0,6,0,75,18,62,129,133,5,24,21,24,27,17,23,2,2,2,2,1,2,3,3,3,3,3,3,2,2,3,1,2,2,3,3,3,2,2,2,1,1,2
256,146,0,Material,2,0,0,6,0,70,24,19,63,128,0,24,21,12,25,21,10,2,2,2,2,2,2,3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,1,1,3,1,1,2
257,136,0,Material,0,0,0,2,0,40,5,84,104,111,0,3,2,6,3,4,6,0,0,0,1,0,0,1,1,3,1,1,1,1,0,2,0,0,0,3,2,0,0,0,0,0,0,0
258,79,0,Material,0,1,0,5,1,45,8,10,56,129,2,8,24,14,16,11,26,1,0,0,1,3,1,0,2,3,2,2,1,0,0,1,0,2,2,3,2,1,1,1,0,0,2,2
259,117,0,Water,2,0,0,3,2,35,3,41,45,111,0,15,17,12,9,14,10,2,2,0,0,0,0,0,2,1,0,1,0,0,2,0,0,2,0,3,2,0,0,0,2,0,0,2
260,66,0,Water,2,0,0,4,2,40,5,47,105,115,1,12,17,18,19,22,9,0,0,0,1,0,0,0,2,1,0,1,1,0,2,0,0,2,0,3,0,0,0,0,2,0,0,2
261,76,0,Water,2,0,0,4,2,40,13,88,107,108,3,23,8,23,16,7,8,1,1,0,1,0,0,0,2,0,0,0,1,0,2,1,0,2,0,1,2,2,1,1,2,0,0,2
262,74,0,Water,2,0,0,5,2,40,10,4,147,155,2,22,9,24,19,9,7,2,2,1,1,0,0,1,2,0,0,0,1,0,2,0,0,2,0,0,0,0,2,2,2,1,0,2
263,77,0,Water,2,0,0,4,2,40,4,4,96,115,0,9,14,10,13,5,7,1,1,1,1,0,0,1,2,1,1,0,0,0,2,1,0,2,0,1,2,0,0,1,2,0,0,1
264,58,0,Water,2,0,0,5,2,45,6,56,98,145,0,11,8,17,14,6,4,2,2,1,1,0,0,0,2,1,0,0,0,0,2,1,0,2,0,2,2,1,0,0,2,0,0,1
265,58,0,Water,2,0,0,4,2,35,9,30,39,113,1,16,17,14,18,20,19,2,2,2,1,0,0,0,2,0,1,1,1,0,2,1,0,2,0,2,1,1,1,1,2,1,0,2
266,89,0,Water,2,0,0,4,2,35,10,22,27,122,1,7,15,7,13,17,21,1,1,1,1,0,0,1,2,1,1,1,0,0,2,0,0,2,0,1,1,1,1,0,2,0,0,2
267,68,0,Water,2,0,0,3,2,35,4,52,76,111,1,5,4,8,3,14,7,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,3
268,63,0,Water,2,0,0,5,2,40,14,118,120,145,1,23,21,24,20,8,14,2,2,1,1,0,0,0,2,1,0,1,1,1,2,1,0,2,0,1,1,1,1,2,2,1,0,2
269,89,0,Water,2,0,0,4,2,45,12,13,46,113,1,17,16,23,20,9,19,2,2,0,2,0,0,0,2,0,2,2,0,0,2,0,0,2,0,1,0,0,0,0,2,0,0,2
270,79,0,Water,2,0,0,5,2,50,13,82,101,149,1,18,19,16,22,13,7,2,2,2,1,1,0,1,2,1,1,1,0,2,2,1,0,2,0,0,0,2,0,0,2,1,1,2
271,85,0,Water,2,0,0,5,2,40,8,37,112,126,3,9,6,12,7,18,6,2,2,1,1,0,0,0,2,0,0,0,1,2,2,0,0,2,0,0,1,1,1,0,2,1,0,2
272,61,0,Water,2,0,0,3,2,40,14,4,97,139,0,11,10,21,17,22,15,1,1,0,0,0,0,1,2,3,0,0,1,1,2,0,0,2,0,0,0,2,1,1,2,1,0,2
273,77,0,Water,2,0,0,4,2,45,11,85,94,99,1,12,20,24,18,20,14,2,2,2,1,0,1,0,3,2,1,1,0,0,2,1,1,2,1,0,0,0,1,1,2,0,0,2
274,91,0,Water,2,0,0,5,2,45,15,82,86,101,5,23,13,24,21,14,9,2,2,2,0,1,1,1,2,0,1,1,1,0,2,1,0,2,0,1,1,0,0,0,2,1,1,2
275,91,0,Water,2,0,0,3,2,40,9,76,115,155,1,11,7,18,9,24,19,2,2,1,1,0,0,1,2,2,0,0,1,1,2,1,0,2,1,0,1,1,1,2,2,0,1,2
276,79,0,Water,2,0,0,4,2,35,10,37,57,127,1,17,19,9,23,7,19,2,2,2,2,1,1,1,2,1,0,0,1,0,2,0,0,2,1,2,2,0,0,2,2,0,1,2
277,84,0,Water,2,0,0,5,2,40,12,68,145,150,1,21,9,17,14,15,8,2,2,1,0,0,0,0,3,1,0,0,1,0,2,1,0,2,0,1,1,1,1,0,3,0,0,1
278,71,0,Water,2,0,0,5,2,45,17,78,99,122,1,11,21,16,10,14,19,2,2,1,1,0,1,1,2,0,1,1,1,1,2,1,0,2,0,0,0,1,2,2,2,1,2,2
